Company_Name,CEO_Name,Industry,Company_Sector,Country,City,Founded_Year,Employee_Count,Male_Employees,Female_Employees,Last_Year_Hirings,Hiring_Rate (%),Average_Salary_LPA,Annual_Revenue_INR_Crores,Company_Shares_INR
Horizon Healthcare Ltd.,Katherine Robbins,Manufacturing,Government,South Korea,Seoul,1966,130806,67858,62948,1081,0.83,30.11,269359.65,32295.58
Evergreen Retail Ltd.,Kim Scott,Banking,Startup,Malaysia,Kuala Lumpur,1957,189723,98648,91075,10101,5.32,5.36,620252.3,97941.96
Summit Retail Ltd.,Brenda Frank,Manufacturing,MNC,Thailand,Bangkok,1965,174987,118305,56682,23815,13.61,20.42,610297.97,429625.04
Apex Healthcare Ltd.,Jamie Meyers,Healthcare,Startup,Japan,Tokyo,1955,130323,66418,63905,16873,12.95,38.81,181519.34,240974.58
Horizon Solutions Ltd.,Elizabeth Shah,Banking,Public,Taiwan,Taipei,2009,143635,87761,55874,26009,18.11,20.31,366591.68,27606.0
BlueSky Industries Ltd.,Michael Cook,IT Services,Private,Singapore,Singapore,2018,10286,5240,5046,1835,17.84,16.21,163126.86,378931.48
Nova Holdings Ltd.,Tara Bautista,Retail,MNC,Indonesia,Jakarta,1959,100464,45777,54687,14254,14.19,18.38,620841.05,35223.88
BlueSky Retail Ltd.,Norma Morrow,Telecom,Public,South Korea,Seoul,1988,129757,75814,53943,2552,1.97,6.87,366804.71,53263.24
Nova Healthcare Ltd.,Melvin Sanchez,Banking,Public,China,Beijing,1973,195002,97524,97478,23902,12.26,31.73,599858.26,36918.08
Pioneer Manufacturing Ltd.,William Martinez,Healthcare,MNC,Thailand,Bangkok,1982,15681,9463,6218,3059,19.51,6.84,95307.69,381646.5
BlueSky Technologies Ltd.,Mark Morales,Banking,MNC,Vietnam,Ho Chi Minh City,1966,172581,80296,92285,13037,7.55,24.33,17493.6,50617.88
Vertex Logistics Ltd.,Melissa Smith,Banking,Public,China,Beijing,1989,127168,64505,62663,21114,16.6,3.45,252153.98,58455.92
Apex Technologies Ltd.,Stacy Ramos,IT Services,Private,South Korea,Seoul,1999,139799,88303,51496,24589,17.59,32.98,138875.21,429253.52
Pioneer Holdings Ltd.,Jonathan Gilbert,IT Services,Private,Taiwan,Taipei,2008,83203,40340,42863,11739,14.11,35.17,114242.23,182725.06
Evergreen Manufacturing Ltd.,Sarah Bailey MD,Manufacturing,Public,Taiwan,Taipei,2016,196939,132044,64895,27729,14.08,9.83,40743.19,33946.78
BlueSky Retail Ltd.,Mr. Brian Griffin,Energy,MNC,Indonesia,Jakarta,1970,100041,52910,47131,19030,19.02,8.07,16135.41,370904.24
Evergreen Holdings Ltd.,Brian Hebert,Retail,MNC,Thailand,Bangkok,1967,130225,70092,60133,14403,11.06,21.27,269146.89,324952.72
Prime Healthcare Ltd.,Samantha Johnson,Logistics,Private,Malaysia,Kuala Lumpur,2022,136336,68258,68078,1152,0.84,31.88,594511.21,423812.3
Evergreen Technologies Ltd.,Stephanie Gomez,Banking,Private,Malaysia,Kuala Lumpur,1960,59812,31307,28505,9950,16.64,39.11,276885.34,344159.1
Prime Group Ltd.,Ashley Todd,Telecom,Startup,Thailand,Bangkok,1973,64321,35165,29156,2383,3.7,37.29,175728.87,233526.98
Pioneer Holdings Ltd.,Nicholas Odonnell,Retail,MNC,Singapore,Singapore,1981,193398,87773,105625,25221,13.04,30.48,639440.87,344393.88
BlueSky Holdings Ltd.,Christopher Snyder,Healthcare,Public,Thailand,Bangkok,1999,73274,49975,23299,13980,19.08,32.13,437304.75,49409.58
BlueSky Energy Ltd.,Pamela West,Logistics,Private,UAE,Dubai,1985,27780,16054,11726,1126,4.05,29.93,21529.93,168147.2
Pioneer Healthcare Ltd.,Kristen Jones,Logistics,Government,South Korea,Seoul,2011,128594,87205,41389,15382,11.96,27.38,245475.05,235982.28
Horizon Healthcare Ltd.,Mark Williamson,Energy,Startup,China,Beijing,2013,182468,111716,70752,22159,12.14,14.58,548753.19,145541.24
Summit Logistics Ltd.,Eric Ramirez,Retail,Startup,Singapore,Singapore,1952,145378,69488,75890,13833,9.52,39.27,373479.68,87342.46
Pacific Energy Ltd.,Monica Odonnell,Logistics,MNC,Thailand,Bangkok,1961,122330,77815,44515,13308,10.88,35.79,352227.45,29923.7
Pacific Group Ltd.,Wayne Smith,Banking,MNC,Malaysia,Kuala Lumpur,1974,180372,96676,83696,22437,12.44,20.36,144708.33,245771.66
Apex Foods Ltd.,Janice Sanchez,Healthcare,Startup,China,Beijing,1966,147804,95389,52415,4357,2.95,32.26,40202.85,307163.62
Horizon Solutions Ltd.,Christopher Cox,Healthcare,MNC,China,Beijing,1981,166384,105610,60774,23067,13.86,37.98,136453.28,216053.5
Pacific Industries Ltd.,Laura Hansen,Logistics,MNC,Indonesia,Jakarta,1959,175864,119202,56662,20272,11.53,20.09,595511.99,192022.52
Nova Retail Ltd.,Bruce Yang,Manufacturing,Government,China,Beijing,1960,22360,11515,10845,486,2.17,6.83,320941.08,20667.52
Vertex Group Ltd.,Timothy Stafford,Telecom,Government,South Korea,Seoul,2009,176775,105763,71012,24334,13.77,18.52,187787.54,11346.84
Vertex Healthcare Ltd.,Brandon Rogers,IT Services,Startup,China,Beijing,1959,65598,39891,25707,11481,17.5,35.84,38890.49,128354.14
Evergreen Manufacturing Ltd.,Luke Gonzalez,Banking,Private,Japan,Tokyo,1999,91915,53367,38548,4351,4.73,32.44,479699.74,138429.9
BlueSky Holdings Ltd.,Anna Miller,IT Services,Public,Japan,Tokyo,1968,38095,18122,19973,3604,9.46,27.45,41332.12,12871.62
Pioneer Solutions Ltd.,James Lam,Healthcare,Startup,Thailand,Bangkok,2007,49105,25003,24102,9735,19.82,31.63,322633.04,218806.36
Pacific Healthcare Ltd.,Todd Foley,Energy,Private,Japan,Tokyo,1968,119952,76939,43013,15604,13.01,34.74,205978.77,297345.86
BlueSky Holdings Ltd.,Mark Thomas,Healthcare,Startup,Vietnam,Ho Chi Minh City,1972,46494,24766,21728,3870,8.32,4.93,437062.06,253227.0
Summit Group Ltd.,Linda Nicholson,Telecom,Startup,Vietnam,Ho Chi Minh City,2017,78554,40192,38362,391,0.5,21.91,401493.41,426717.38
Summit Holdings Ltd.,Jennifer White,Logistics,Private,Malaysia,Kuala Lumpur,1989,118262,61345,56917,13271,11.22,32.25,232573.33,28175.32
Apex Manufacturing Ltd.,Anthony Carr,IT Services,MNC,Malaysia,Kuala Lumpur,1998,31297,16674,14623,5280,16.87,14.6,66302.39,239927.96
BlueSky Logistics Ltd.,Corey Hernandez,Energy,Private,Indonesia,Jakarta,2015,114783,54291,60492,15325,13.35,6.15,629101.18,339269.14
Horizon Retail Ltd.,Lisa Cardenas,Telecom,MNC,Taiwan,Taipei,1985,95736,50162,45574,5430,5.67,7.66,156971.84,343841.76
Pacific Foods Ltd.,George Robertson,Manufacturing,Public,UAE,Dubai,1977,45082,28767,16315,9008,19.98,27.6,588252.9,55661.78
Vertex Healthcare Ltd.,Crystal Hunter,Logistics,Private,UAE,Dubai,1960,62856,30839,32017,3090,4.92,9.89,49998.94,411063.66
Evergreen Healthcare Ltd.,James Mcguire,Energy,Startup,Vietnam,Ho Chi Minh City,1954,43081,25257,17824,2836,6.58,4.5,264477.95,160116.52
Horizon Group Ltd.,Jonathon Evans,Healthcare,MNC,Malaysia,Kuala Lumpur,1971,70055,32437,37618,9517,13.59,13.6,378440.94,190893.34
Prime Technologies Ltd.,John Welch,Logistics,Private,UAE,Dubai,2016,192540,127408,65132,36510,18.96,5.32,352848.88,19639.82
Summit Energy Ltd.,David Johnson,IT Services,Public,Singapore,Singapore,2019,110140,61784,48356,4726,4.29,15.15,590306.67,40549.0
Horizon Manufacturing Ltd.,Carol Gonzales,Telecom,MNC,Malaysia,Kuala Lumpur,1982,50795,32031,18764,2918,5.74,15.4,142338.26,109474.56
Nova Group Ltd.,Jill Robinson,Banking,Public,South Korea,Seoul,1998,42285,26960,15325,7645,18.08,26.88,671634.72,25904.06
Apex Holdings Ltd.,Traci Thomas,Logistics,Private,China,Beijing,1976,32059,15860,16199,1406,4.39,13.13,608917.24,232701.38
Evergreen Industries Ltd.,Jennifer Smith,Banking,Startup,Vietnam,Ho Chi Minh City,1988,98443,54155,44288,12881,13.08,32.43,238327.5,59869.76
Apex Manufacturing Ltd.,Katherine Winters,Telecom,MNC,Japan,Tokyo,2004,179723,124019,55704,18160,10.1,22.88,314082.23,383654.6
Vertex Group Ltd.,Mr. Nicholas Herrera,Manufacturing,Government,Singapore,Singapore,1987,81033,46767,34266,12916,15.94,5.96,302781.49,33439.38
Summit Technologies Ltd.,Pamela Peterson,Logistics,Startup,Malaysia,Kuala Lumpur,1966,74999,39029,35970,2109,2.81,26.2,351363.23,57308.68
Horizon Manufacturing Ltd.,Julie Deleon,Banking,Government,South Korea,Seoul,2006,190178,95899,94279,27192,14.3,27.22,504955.11,28359.36
Vertex Manufacturing Ltd.,Michelle Skinner,Retail,Government,Japan,Tokyo,2005,10060,6709,3351,1399,13.91,17.57,116212.32,70825.3
Vertex Retail Ltd.,Emma Brown,IT Services,Public,Singapore,Singapore,2009,25856,12402,13454,3864,14.94,19.3,118475.41,2750.28
Vertex Industries Ltd.,Gregory English,Retail,Private,Singapore,Singapore,2019,67933,44907,23026,478,0.7,27.31,299805.37,149282.24
Prime Solutions Ltd.,Kristy Camacho,Banking,MNC,South Korea,Seoul,2012,137172,63326,73846,7721,5.63,8.19,392719.69,126561.04
Nova Group Ltd.,Barbara Pena,Manufacturing,Private,Japan,Tokyo,2012,179426,89384,90042,15543,8.66,8.89,238037.08,327330.62
BlueSky Foods Ltd.,Cassandra Olson,Energy,Government,Malaysia,Kuala Lumpur,1959,53400,26546,26854,5505,10.31,17.74,192022.43,88205.9
Nova Technologies Ltd.,Daniel King,Manufacturing,MNC,China,Beijing,1962,112213,52671,59542,17120,15.26,16.29,151927.34,245009.7
Evergreen Logistics Ltd.,Dr. Victoria Elliott,Retail,Public,Vietnam,Ho Chi Minh City,2000,7786,3806,3980,934,12.0,20.71,314459.69,23956.16
Horizon Manufacturing Ltd.,Susan James,Telecom,Private,Vietnam,Ho Chi Minh City,1978,117073,70639,46434,23256,19.86,28.31,98879.62,102232.5
Summit Technologies Ltd.,Alexandra Carter,Banking,MNC,Thailand,Bangkok,2001,27801,12792,15009,4448,16.0,38.97,397980.74,184788.2
Vertex Holdings Ltd.,Michael Mendez,Healthcare,MNC,China,Beijing,1999,5363,3161,2202,359,6.69,17.96,650596.02,176754.94
BlueSky Manufacturing Ltd.,Christopher Mann,Healthcare,Private,Vietnam,Ho Chi Minh City,1953,114530,77341,37189,6005,5.24,22.61,597623.46,70446.9
Summit Group Ltd.,Audrey Mcdonald,Retail,Private,Vietnam,Ho Chi Minh City,2003,7436,4262,3174,1369,18.41,17.87,282207.19,197977.16
Vertex Holdings Ltd.,Jackson Rivera,Logistics,MNC,Indonesia,Jakarta,1995,118373,56961,61412,18897,15.96,14.92,671190.78,417661.58
Summit Industries Ltd.,John Schmitt,Energy,Private,Vietnam,Ho Chi Minh City,1981,130731,70879,59852,13739,10.51,27.69,652265.19,327279.88
Pioneer Healthcare Ltd.,Daniel Davidson,Healthcare,Public,Taiwan,Taipei,1998,178064,107989,70075,17655,9.91,11.43,652976.33,34375.92
Prime Industries Ltd.,Tyler Brown,Retail,Private,South Korea,Seoul,1995,48829,29319,19510,9122,18.68,39.4,583582.33,221935.9
Apex Energy Ltd.,Sarah Garza,Logistics,MNC,UAE,Dubai,2013,102170,47204,54966,8592,8.41,9.06,523612.63,147800.46
BlueSky Industries Ltd.,Jeff Harris,Energy,Startup,UAE,Dubai,2012,62947,41011,21936,998,1.59,38.3,679739.87,83837.1
Apex Logistics Ltd.,Andre Moss,Energy,Startup,Malaysia,Kuala Lumpur,2013,53502,27576,25926,6238,11.66,30.04,234145.23,120891.06
Pacific Holdings Ltd.,Michelle Lindsey MD,Energy,Startup,Japan,Tokyo,2022,144127,89279,54848,12939,8.98,31.39,626197.05,423729.74
Vertex Logistics Ltd.,Gregory Ortega,Banking,MNC,Indonesia,Jakarta,2011,175061,110411,64650,30185,17.24,31.53,28873.47,295882.14
Horizon Foods Ltd.,Raymond Baker,Logistics,Public,Taiwan,Taipei,2010,23134,10780,12354,892,3.86,6.43,493534.39,52521.92
Apex Healthcare Ltd.,Lori Williams,Manufacturing,Startup,Japan,Tokyo,2002,55215,34439,20776,2421,4.38,34.98,180301.49,307434.52
Pioneer Holdings Ltd.,Michael Murphy,IT Services,Startup,Indonesia,Jakarta,1975,61970,37427,24543,6538,10.55,33.09,437142.64,202384.66
Vertex Foods Ltd.,Philip Martinez,Logistics,MNC,UAE,Dubai,2008,2339,1575,764,80,3.42,10.2,403085.18,44210.02
Apex Group Ltd.,David Davila,IT Services,Public,UAE,Dubai,1999,69179,42988,26191,5638,8.15,22.77,635309.69,20984.0
Pioneer Technologies Ltd.,Antonio Oconnor,Retail,Private,Indonesia,Jakarta,2015,152862,88112,64750,12694,8.3,35.46,417533.27,86165.98
Apex Energy Ltd.,John Fitzgerald,IT Services,Startup,Singapore,Singapore,2012,150832,77031,73801,29568,19.6,7.21,400218.46,85555.38
Nova Manufacturing Ltd.,Nicole Wells,Banking,MNC,Thailand,Bangkok,1965,102162,53938,48224,3376,3.3,16.98,508090.24,115376.74
Summit Technologies Ltd.,Julie Dalton,Retail,Government,Thailand,Bangkok,2010,105113,67373,37740,638,0.61,15.69,78218.55,293716.66
Pioneer Foods Ltd.,Austin Valdez,Logistics,Private,Thailand,Bangkok,1996,23848,10877,12971,152,0.64,24.72,559474.98,163617.58
Pacific Solutions Ltd.,Kathleen Washington,Energy,MNC,China,Beijing,1968,113361,53072,60289,5318,4.69,11.1,342778.63,391384.28
Summit Manufacturing Ltd.,Luis Downs,Retail,MNC,UAE,Dubai,2003,176912,96010,80902,11323,6.4,28.33,21651.02,128363.6
Apex Logistics Ltd.,Barbara Morse,Healthcare,Startup,Thailand,Bangkok,1953,148297,92937,55360,27058,18.25,13.27,210078.31,283436.22
Apex Healthcare Ltd.,Devin Hernandez,Telecom,Private,South Korea,Seoul,1977,52904,25793,27111,1611,3.05,27.52,554881.12,253810.08
Evergreen Technologies Ltd.,Michael Vasquez,Banking,Private,Thailand,Bangkok,2020,134600,65507,69093,10529,7.82,5.94,495456.92,235737.18
Evergreen Group Ltd.,Brandon Wheeler MD,IT Services,Government,Malaysia,Kuala Lumpur,1952,19139,10850,8289,1652,8.63,15.8,300673.8,414753.06
Pioneer Group Ltd.,Mr. Bryan Hansen,Banking,Public,UAE,Dubai,1989,125312,65265,60047,16396,13.08,31.1,79177.53,20642.58
Prime Solutions Ltd.,Kimberly Moran,IT Services,Public,UAE,Dubai,1996,58335,34987,23348,10237,17.55,17.83,2957.02,42807.36
Pioneer Retail Ltd.,James Nicholson,Retail,Public,UAE,Dubai,1956,171761,112461,59300,12938,7.53,17.61,491741.72,46574.16
Apex Healthcare Ltd.,Charles Boyd,Manufacturing,Government,Malaysia,Kuala Lumpur,1985,83281,48546,34735,14863,17.85,5.49,422378.59,382849.64
Evergreen Industries Ltd.,Kimberly Hanna,Banking,Government,South Korea,Seoul,1975,168625,79974,88651,14651,8.69,17.2,381951.46,121739.88
Vertex Technologies Ltd.,Cheryl Chavez,Retail,Public,Thailand,Bangkok,2013,197103,90201,106902,21003,10.66,23.15,372473.65,42778.98
Pacific Technologies Ltd.,Kristin Jordan,Energy,Government,Singapore,Singapore,1957,11018,6107,4911,2137,19.4,9.36,402596.19,131530.98
Vertex Energy Ltd.,Jessica Snow,Manufacturing,Startup,Japan,Tokyo,1991,101967,56997,44970,10979,10.77,18.77,82429.37,282606.32
Summit Foods Ltd.,Karen Summers,Banking,Public,Singapore,Singapore,2022,12126,7205,4921,113,0.93,32.87,242661.9,57939.92
Evergreen Holdings Ltd.,Johnny Wilson,Energy,Startup,UAE,Dubai,1974,3750,2139,1611,76,2.03,11.42,328209.45,105018.04
Pioneer Foods Ltd.,Carmen Harris,Healthcare,Startup,UAE,Dubai,1973,158055,109680,48375,9899,6.26,22.01,650619.84,6188.56
Evergreen Foods Ltd.,Mr. Jason Greene,Telecom,Startup,Taiwan,Taipei,2006,97438,53544,43894,14578,14.96,6.03,159468.42,208719.42
BlueSky Industries Ltd.,Sean Munoz,Retail,Private,Indonesia,Jakarta,2016,184547,83586,100961,36842,19.96,16.83,70200.68,318918.1
Nova Energy Ltd.,Jason Miller,Telecom,Public,UAE,Dubai,1991,122639,64800,57839,15894,12.96,24.31,51752.65,44466.3
Horizon Logistics Ltd.,Duane Myers,Telecom,Private,Indonesia,Jakarta,1951,161093,93610,67483,26247,16.29,15.62,100310.92,187486.88
Horizon Logistics Ltd.,James Lee,IT Services,Startup,Taiwan,Taipei,2022,42664,22085,20579,5938,13.92,31.86,76199.35,300177.84
Apex Logistics Ltd.,Amber Frank,Healthcare,Startup,Singapore,Singapore,2019,30279,14618,15661,2478,8.18,22.95,406801.84,220403.38
Prime Solutions Ltd.,Cody Edwards,Retail,Private,China,Beijing,1995,149772,78637,71135,18852,12.59,26.12,244222.71,167249.36
Horizon Group Ltd.,Anne Martin,Logistics,Startup,China,Beijing,1976,150390,81629,68761,15681,10.43,34.19,375415.71,28055.78
Pacific Retail Ltd.,Jacob Sparks,Telecom,Startup,China,Beijing,1980,173162,120070,53092,17514,10.11,22.35,647928.04,278688.16
Evergreen Industries Ltd.,Bryan Fitzgerald,Retail,Startup,China,Beijing,1999,122639,58386,64253,15951,13.01,4.54,651064.89,383741.46
Prime Retail Ltd.,David Murray,Manufacturing,Private,Singapore,Singapore,1966,50275,34636,15639,482,0.96,23.26,32241.74,101231.46
Evergreen Technologies Ltd.,Dylan Smith,Logistics,MNC,Singapore,Singapore,1992,156055,77637,78418,23647,15.15,28.7,211160.27,299028.02
Apex Energy Ltd.,Theresa Diaz,Logistics,Private,Singapore,Singapore,1979,37241,24649,12592,4652,12.49,21.86,54559.86,314202.72
Apex Foods Ltd.,Carol Sanchez,Telecom,Public,Indonesia,Jakarta,1991,115811,79874,35937,21971,18.97,8.52,605408.09,26437.26
Summit Logistics Ltd.,Michelle Reid,Telecom,Private,China,Beijing,2004,110286,51423,58863,2596,2.35,39.79,401294.4,167371.48
Nova Technologies Ltd.,David Lopez,Banking,Government,Thailand,Bangkok,1964,105626,71421,34205,15642,14.81,14.47,433317.02,343001.54
Horizon Foods Ltd.,Amy Marshall,Banking,Startup,China,Beijing,1950,98139,63110,35029,15714,16.01,36.04,308465.14,279218.78
Evergreen Retail Ltd.,Brandon Carlson,Telecom,Private,Taiwan,Taipei,1952,2307,1164,1143,296,12.83,24.62,208643.91,130033.72
Apex Solutions Ltd.,Jo Jones,Energy,Public,Vietnam,Ho Chi Minh City,1994,193457,106666,86791,7139,3.69,34.92,668728.09,30911.84
Pioneer Healthcare Ltd.,April Wilson,Healthcare,Startup,Singapore,Singapore,2009,81384,48832,32552,10251,12.6,27.28,682205.92,273804.22
Nova Retail Ltd.,Mr. John Clarke,Logistics,Public,Japan,Tokyo,2004,137052,68422,68630,7500,5.47,32.79,648694.99,7987.68
BlueSky Retail Ltd.,Brandon White,IT Services,Public,China,Beijing,2005,8341,3813,4528,76,0.91,38.84,108981.18,41975.74
Evergreen Manufacturing Ltd.,Daniel Briggs,IT Services,Government,Taiwan,Taipei,2019,153135,82096,71039,3000,1.96,18.02,630326.51,429000.68
BlueSky Technologies Ltd.,Christine Evans,Telecom,Government,Malaysia,Kuala Lumpur,2022,52728,32827,19901,7503,14.23,28.84,23178.72,11782.86
Pacific Foods Ltd.,Anthony Cortez,Retail,Startup,Indonesia,Jakarta,1986,76751,46525,30226,14317,18.65,33.61,95516.07,238299.98
Apex Holdings Ltd.,Elizabeth Barnes,Energy,Public,Taiwan,Taipei,1984,113640,57914,55726,12033,10.59,24.98,138383.72,48722.44
Pioneer Group Ltd.,Malik Salazar,Telecom,Public,China,Beijing,1961,51176,29359,21817,1637,3.2,13.05,314310.31,34296.8
Pacific Retail Ltd.,Donald Welch,Healthcare,Government,Taiwan,Taipei,1970,174918,109477,65441,34929,19.97,33.64,298110.23,171899.38
Prime Logistics Ltd.,Michael Ochoa,Telecom,Startup,Vietnam,Ho Chi Minh City,1978,14829,8396,6433,340,2.29,34.74,480549.68,110028.4
Evergreen Healthcare Ltd.,Ms. Janet Murray,Retail,Private,Taiwan,Taipei,2003,156289,98137,58152,4542,2.91,38.75,404003.06,106050.9
Pioneer Healthcare Ltd.,Douglas Schroeder,Energy,Government,Taiwan,Taipei,2009,194786,118632,76154,36861,18.92,3.55,453179.24,69481.12
BlueSky Group Ltd.,Crystal Munoz,Retail,Public,China,Beijing,2011,176925,107292,69633,31066,17.56,24.84,73345.19,48579.68
Evergreen Energy Ltd.,Michelle Smith,Healthcare,Startup,UAE,Dubai,1969,152184,82400,69784,8485,5.58,18.06,361545.2,332483.74
Horizon Energy Ltd.,Rebecca Watson,Healthcare,MNC,South Korea,Seoul,2008,114682,71267,43415,5672,4.95,38.1,545224.78,37882.14
Prime Energy Ltd.,Susan Hill,Energy,Startup,Malaysia,Kuala Lumpur,1964,55738,31177,24561,3962,7.11,12.43,226473.78,189867.36
BlueSky Foods Ltd.,Tanya Francis,Retail,MNC,Singapore,Singapore,1971,125217,56476,68741,6755,5.39,31.73,4607.71,336809.54
Pioneer Energy Ltd.,Charles Nelson,Manufacturing,Government,Taiwan,Taipei,1998,125940,83334,42606,3021,2.4,3.21,395592.09,223618.06
Nova Logistics Ltd.,Brittany Moreno,Manufacturing,Government,Taiwan,Taipei,1980,90844,46100,44744,13944,15.35,16.18,491564.56,412551.46
Prime Solutions Ltd.,Mariah Dougherty,Telecom,Startup,Japan,Tokyo,1999,136565,64755,71810,1583,1.16,17.79,603699.62,94562.16
Prime Solutions Ltd.,Greg Roth,Banking,Startup,Taiwan,Taipei,1962,135565,86778,48787,716,0.53,5.06,419404.37,44626.26
Pioneer Manufacturing Ltd.,Tammy Kelly,Manufacturing,Government,China,Beijing,2003,110304,76424,33880,19478,17.66,15.94,492811.73,283004.5
BlueSky Logistics Ltd.,Anna Spencer,Banking,Private,Japan,Tokyo,1986,64361,32462,31899,8849,13.75,17.84,100930.29,99938.02
Evergreen Group Ltd.,Carol Brown,IT Services,Startup,Singapore,Singapore,2010,113628,52467,61161,11278,9.93,26.6,131763.01,417277.16
Prime Healthcare Ltd.,Edward Oliver,Telecom,Private,Singapore,Singapore,2016,16091,10781,5310,349,2.17,20.6,378235.31,28582.1
Summit Technologies Ltd.,Amanda Lozano,IT Services,Private,Indonesia,Jakarta,2016,174022,103231,70791,26646,15.31,36.59,182441.17,125412.08
Vertex Energy Ltd.,Richard Martin,Retail,Government,Japan,Tokyo,1997,119926,68262,51664,2257,1.88,36.45,180721.86,429264.7
Pioneer Group Ltd.,Douglas Parks,IT Services,MNC,China,Beijing,1950,143368,99323,44045,8773,6.12,31.5,393131.03,359236.62
Pacific Logistics Ltd.,Jose Hopkins,Logistics,Government,Indonesia,Jakarta,2011,1479,720,759,88,5.95,11.84,303078.02,199215.56
Nova Holdings Ltd.,Teresa James,Telecom,MNC,Taiwan,Taipei,1964,66323,45917,20406,7009,10.57,22.84,543432.28,8224.18
Prime Logistics Ltd.,Michael Ward,Healthcare,MNC,South Korea,Seoul,2004,75801,34933,40868,3135,4.14,30.16,281450.82,12454.52
Horizon Manufacturing Ltd.,Dave Sandoval,Banking,Private,Thailand,Bangkok,1993,154753,107621,47132,24429,15.79,25.25,588762.97,76121.18
Nova Group Ltd.,Jeanne Ortiz MD,Telecom,Startup,Malaysia,Kuala Lumpur,2019,75413,47015,28398,13392,17.76,4.58,223353.27,310332.72
Vertex Logistics Ltd.,Debra Macias,Telecom,MNC,Taiwan,Taipei,1956,2937,1913,1024,235,8.0,39.76,279903.34,402275.32
Horizon Healthcare Ltd.,Tonya Liu,Healthcare,MNC,UAE,Dubai,2007,149574,87844,61730,4502,3.01,36.22,461418.9,122758.12
Horizon Holdings Ltd.,Sherri Torres,Logistics,Private,Japan,Tokyo,2011,182287,125784,56503,30259,16.6,27.98,332898.6,238553.68
Pacific Industries Ltd.,Jennifer Lozano,IT Services,Private,Thailand,Bangkok,1961,39476,17772,21704,488,1.24,36.57,470194.59,117867.3
BlueSky Manufacturing Ltd.,Alexis Gray,Energy,Government,South Korea,Seoul,1974,163217,79080,84137,18208,11.16,27.84,636357.26,427501.7
Pacific Logistics Ltd.,Judy Potter,Banking,Startup,China,Beijing,1971,52238,27748,24490,5488,10.51,38.66,427431.87,314324.84
Summit Foods Ltd.,Michael Brown,Manufacturing,Public,Malaysia,Kuala Lumpur,2018,186518,94103,92415,9624,5.16,6.32,320315.77,48491.96
BlueSky Retail Ltd.,Devin Robbins,Healthcare,MNC,China,Beijing,1969,193213,100138,93075,23328,12.07,13.75,526857.59,242303.28
Horizon Industries Ltd.,Jamie Andrews MD,Healthcare,Government,Thailand,Bangkok,1950,122303,84927,37376,19141,15.65,34.9,468072.37,349660.52
Prime Holdings Ltd.,Christy Watts,Telecom,Startup,Taiwan,Taipei,1969,36829,22872,13957,3260,8.85,36.55,180947.27,373050.8
Nova Foods Ltd.,Charles Miller,Telecom,Private,South Korea,Seoul,1983,168788,100392,68396,14352,8.5,8.62,30752.14,198715.9
Horizon Industries Ltd.,Christina Fisher,Logistics,Public,Taiwan,Taipei,2014,117795,80049,37746,6250,5.31,24.02,437561.64,17511.32
Nova Solutions Ltd.,Kirsten Berger,Energy,Startup,UAE,Dubai,2006,175067,82100,92967,16272,9.29,20.86,213493.97,237582.74
Evergreen Holdings Ltd.,Shane Nichols,Telecom,Startup,Malaysia,Kuala Lumpur,2021,106734,66731,40003,18131,16.99,16.46,355601.14,257330.06
Pioneer Solutions Ltd.,Alyssa Young,Banking,Private,Japan,Tokyo,2019,181837,117505,64332,26941,14.82,16.34,31399.2,350051.82
Prime Group Ltd.,Justin Moore,Energy,Startup,Japan,Tokyo,1976,158379,72279,86100,26560,16.77,22.1,635465.78,57259.66
Apex Group Ltd.,Brett Zuniga,Logistics,MNC,Japan,Tokyo,2004,154079,97491,56588,21580,14.01,30.23,383697.17,49461.18
Pioneer Healthcare Ltd.,Lynn Phillips,Manufacturing,MNC,Indonesia,Jakarta,1983,86072,41921,44151,6952,8.08,26.85,378670.56,279744.24
Prime Manufacturing Ltd.,Nicholas Hanson,Manufacturing,Public,South Korea,Seoul,2022,186940,111982,74958,19605,10.49,30.13,4438.55,56637.88
Apex Solutions Ltd.,Matthew Knox,Healthcare,Private,UAE,Dubai,1996,42058,26328,15730,5215,12.4,13.94,508085.08,27587.08
Pioneer Solutions Ltd.,Brian Wallace,Healthcare,Government,China,Beijing,1952,108000,57125,50875,5321,4.93,30.22,35332.24,275437.36
Vertex Retail Ltd.,Chris Rodgers,Healthcare,Private,Singapore,Singapore,1961,183283,93819,89464,13367,7.29,36.09,118977.04,185157.14
Pacific Foods Ltd.,Erin Miller,Healthcare,Private,Japan,Tokyo,1986,39085,23001,16084,4455,11.4,4.61,311437.56,109643.12
BlueSky Technologies Ltd.,Mark Schultz,Healthcare,Public,Vietnam,Ho Chi Minh City,2022,108797,51888,56909,19348,17.78,34.44,461708.37,24111.82
Prime Manufacturing Ltd.,Charles Clark,Energy,Public,China,Beijing,1973,94564,51584,42980,18562,19.63,39.5,426778.78,17403.82
Prime Holdings Ltd.,Nicole Bennett,Healthcare,Public,Vietnam,Ho Chi Minh City,1956,11798,7174,4624,1936,16.41,21.47,402613.9,18733.38
Apex Industries Ltd.,Melanie Moss,Logistics,Public,Singapore,Singapore,1988,131913,59750,72163,22220,16.84,20.49,138243.71,23393.72
